"de_para";"valor";
"ELECTRONLOJA PROGRE";"compras";
"ELECTRONMUNDIAL CAL";"compras";
"ELECTRONO REI 1";"compras";
"DEB AUTOR UNICEF";"doação";
"SALDO DO DIA";"saldo";
"SAQUE 24H 11143138 14/06";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONDV3";"compras";
"ELECTRONRUMO LESTE";"compras";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSTELO S A *";"compras";
"INT ITAUCARD";"cartão credito";
"TBI 9293.22915-0/500";"resgate";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONPIZZA DELIG";"alimentação";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONANDORINHA H";"mercado";
"ELECTRONARIZONA PAE";"padaria";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONDROGARIA PR";"farmacia";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONAGUA FRIA P";"compras";
"ELECTRONMERCADOCAR";"Pç carro";
"ELECTRONSTELO S A *";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 176008796308";"boleto";
"SAQUE 24H 11661220 21/06";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONBD";"compras";
"ELECTRONPADARIA PAL";"padaria";
"ELECTRONVON BEBEER";"compras";
"INT TED 237284600601853";"seguro";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONOURINHOS SU";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONDROGARIA SA";"farmacia";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDIB FERNAND";"compras";
"ELECTRONMARELLAS CA";"compras";
"ELECTRONMC DONALDS";"alimentação";
"SALDO DO DIA";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDEPOSITO DO";"alimentação";
"ELECTRONJARDIM MODA";"compras";
"ELECTRONRAIA 47";"farmacia";
"SALDO DO DIA";"saldo";
"INT PAG TIT 109804018839";"boleto";
"INT  PAG TIT BANCO 033";"boleto";
"INT  PAG TIT BANCO 033";"boleto";
"SAQUE 24H 08799322 28/06";"saque";
"INT NET SERV COMUNICAC 4";"divida";
"INT NET SERV COMUNICAC 4";"divida";
"INT NET SERV COMUNICAC 4";"divida";
"ELECTRONANDORINHA H";"mercado";
"ELECTRONDIA BRASIL";"compras";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONPAG*diegoej";"compras";
"ELECTRONPAG*diegoej";"compras";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSONDA TREME";"mercado";
"SALDO DO DIA";"saldo";
"TBI 9293.22915-0/500";"poupança";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SALDO ANTERIOR";"saldo";
"SALDO ANTERIOR";"saldo";
"ELECTRONANDORINHA H";"mercado";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONPOSTO FLORI";"compras";
"ELECTRONREDE DE CAR";"compras";
"TAR PACOTE ITAU   JUN/20";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109001140044";"boleto";
"SAQUE 24H 13784251 05/07";"saque";
"SAQUE 24H 18568832";"conserto maquina";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONMC DONALDS";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSERGIO EIZO";"compras";
"LIS/JUROS     14 DIAS";"juros";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONDEPOSITO DO";"alimentação";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONR M SHIMABU";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT NEXTEL 9699999717361";"celular";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONDIA FRANQUI";"compras";
"ELECTRONMAHAL LANCH";"compras";
"ELECTRON2081  - PA";"compras";
"SEGURO CARTAO";"banco";
"DEB AUTOR UNICEF";"doação";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 10992964 12/07";"saque";
"INT NEXTEL 9499999717361";"celular";
"ELECTRONFAZ MASTER";"compras";
"ELECTRONMARTINS & R";"compras";
"ELECTRONPAG*CamilaT";"compras";
"ELECTRONSERGIO EIZO";"compras";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA TREME";"mercado";
"INT TED  451045 DOMINGOS";"manutenção";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TBI 0747.56106-6";"emprestimo";
"ELECTRONSONDA JACAN";"mercado";
"SALDO DO DIA";"saldo";
"ELECTRONBD";"compras";
"INT ITAUCARD";"cartão credito";
"TBI 0747.56106-6";"emprestimo";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA VE";"farmacia";
"ELECTRONPAG*Phoenix";"compras";
"ELECTRONPAG*Phoenix";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONRRM EST E G";"compras";
"ELECTRONSONIA NORIK";"compras";
"ELECTRONSUPERMERCAD";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT TED 237274100473111";"seminario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"INT TED 237284600601853";"seguro";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSONDA TREME";"mercado";
"SALDO DO DIA";"saldo";
"ELECTRONMC DONALDS";"alimentação";
"ELECTRONSTELO S A *";"compras";
"INT TED 212000112860972";"compras";
"SALDO DO DIA";"saldo";
"SAQUE 24H 09919556 26/07";"saque";
"TBI 1491.48993-4michelle";"michelle";
"ELECTRONLJ 17 GLOBA";"compras";
"ELECTRONM A KOCH LA";"compras";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONPERFUMARIA";"compras";
"ELECTRONR C P FARMA";"farmacia";
"ELECTRONR C P FARMA";"farmacia";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA JACAN";"mercado";
"SALDO DO DIA";"saldo";
"ELECTRONASSAI ATACA";"mercado";
"SALDO DO DIA";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"SALDO DO DIA";"saldo";
"ELECTRONPAG*FarmaEF";"farmacia";
"DOC 001.REST. IR";"restituição irpf";
"SALDO DO DIA";"saldo";
"(-) SALDO A LIBERAR";"saldo";
"SALDO FINAL DEVEDOR";"saldo";
"TBI 9293.22915-0/500";"poupança";
"ELECTRONARIZONA PAE";"padaria";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SALDO DO DIA";"saldo";
"SALDO ANTERIOR";"saldo";
"ELECTRONALTO DA SER";"compras";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONDROG SAO PA";"farmacia";
"ELECTRONMEU CHAPA B";"alimentação";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT  PAG TIT BANCO 237";"boleto";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONPAG*hprospe";"compras";
"TAR PACOTE ITAU   JUL/20";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT NEXTEL 9399999712769";"celular";
"INT NEXTEL 9399999712844";"celular";
"ELECTRONARIZONA PAE";"padaria";
"INT TED  189541 SEMI";"seminario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONCOZINHART E";"compras";
"ELECTRONKALUNGA NOV";"compras";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONR M SHIMABU";"compras";
"ELECTRONRUFPLAST";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109001179554";"boleto";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONGABRIELLA C";"compras";
"ELECTRONTORRA TORRA";"roupa";
"SEGURO CARTAO";"banco";
"DEB AUTOR UNICEF";"doação";
"REND PAGO APLIC AUT MAIS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONANDORINHA H";"mercado";
"ELECTRONANDORINHA H";"mercado";
"ELECTRONBRILHO REAL";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 11269792 16/08";"saque";
"ELECTRONBD";"compras";
"ELECTRONDICICO TREM";"material casa";
"ELECTRONDICICO TREM";"material casa";
"ELECTRONMEU CHAPA B";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSONDA JACAN";"mercado";
"INT ITAUCARD";"cartão credito";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONDROGARIA SA";"farmacia";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONLEVI DA SIL";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONMAYARA SEGA";"compras";
"ELECTRONPAD CONF JD";"padaria";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 10350379 23/08";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONCASAS DE BO";"alimentação";
"ELECTRONCASAS DE BO";"alimentação";
"ELECTRONCENTRO AUTO";"alimentação";
"ELECTRONMOCOTO REST";"alimentação";
"ELECTRONPAG*Chaveir";"chaveiro";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSUA ACADEMI";"academia";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONBD";"compras";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 12686085 30/08";"saque";
"TBI 9293.22915-0/500";"poupança";
"ELECTRONLEVI DA SIL";"compras";
"ELECTRONMC DONALDS";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONPROMOFARMA";"farmacia";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SALDO DO DIA";"saldo";
"SALDO ANTERIOR";"saldo";
"ELECTRONDROGARIA PR";"farmacia";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TAR PACOTE ITAU   AGO/20";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONPROMO FARMA";"farmacia";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 16358012 06/09";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONM A KOCH LA";"compras";
"ELECTRONPADARIA PAL";"padaria";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONPAG*OPESCAD";"restaurante";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSTELO S A *";"compras";
"SALDO DO DIA";"saldo";
"INT NEXTEL 9099999708303";"celular";
"ELECTRONSONDA TREME";"mercado";
"SALDO DO DIA";"saldo";
"INT PAG TIT 109016422561";"boleto";
"ELECTRONLEVI DA SIL";"compras";
"ELECTRONPAG*Mercado";"compras";
"ELECTRONPROMO FARMA";"farmacia";
"ELECTRONSTELO S A *";"compras";
"SEGURO CARTAO";"banco";
"SALDO DO DIA";"saldo";
"INT  PAG TIT BANCO 237";"boleto";
"DEB AUTOR UNICEF";"doação";
"SALDO DO DIA";"saldo";
"CXE 000844 SAQUE 13/09";"saque";
"SAQUE 24H 10588358 13/09";"saque";
"INT NEXTEL 9399999708378";"celular";
"ELECTRONADRIANO CHI";"compras";
"ELECTRONANDORINHA H";"mercado";
"ELECTRONLEVI DA SIL";"compras";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSERGIO EIZO";"compras";
"ELECTRONSONDA JACAN";"mercado";
"SALDO DO DIA";"saldo";
"ELECTRONANDORINHA H";"mercado";
"ELECTRONCENTRO AUTO";"mercado";
"ELECTRONMG COMERCIO";"mercado";
"ELECTRONPROMO FARMA";"farmacia";
"INT ITAUCARD";"cartão credito";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONLINDA VIVI";"compras";
"ELECTRONPAG*bancado";"compras";
"ELECTRONSONDA TREME";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONLEVI DA SIL";"compras";
"ELECTRONOURINHOS SU";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 09674540 19/09";"aniversario samuel(entr+van)";
"ELECTRONANDORINHA H";"mercado";
"ELECTRONANDORINHA H";"mercado";
"ELECTRONDEPOSITO DO";"alimentação";
"ELECTRONHABIBS";"alimentação";
"ELECTRONPAG*OPESCAD";"alimentação";
"ELECTRONPROMO FARMA";"farmacia";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSTELO S A *";"compras";
"SALDO DO DIA";"saldo";
"ELECTRONBD";"compras";
"ELECTRONOURINHOS SU";"mercado";
"SALDO DO DIA";"saldo";
"INT  PAG TIT BANCO 001";"boleto";
"ELECTRONCENTRO AUTO";"mercado";
"ELECTRONPARK NOW ES";"boleto";
"ELECTRONSONDA TREME";"mercado";
"INT TED  498255 SEMI";"seminario";
"TBI 9293.22915-0/500";"resgate";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONJ A SABAO C";"compras";
"ELECTRONLOIRASSA BA";"compras";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONMARIA AMALI";"compras";
"ELECTRONPADARIA PAL";"padaria";
"ELECTRONPAG*CarlaGo";"compras";
"ELECTRONPAG*Joseane";"compras";
"ELECTRONPAG*Mariaap";"compras";
"ELECTRONPAG*SERGIOY";"compras";
"ELECTRONPASTEIS M M";"alimentação";
"ELECTRONRICARDO VIA";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONLOJASMEL SA";"compras";
"ELECTRONM S H";"compras";
"ELECTRONMARCELO ROD";"compras";
"ELECTRONMAYARA SEGA";"compras";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSONDA TREME";"mercado";
"SALDO DO DIA";"saldo";
"SAQUE 24H 10744894 27/09";"saque";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONMC DONALDS";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSONDA TREME";"mercado";
"SALDO DO DIA";"saldo";
"TBI 9293.22915-0/500";"poupança";
"ELECTRONPASTEIS TAN";"alimentação";
"ELECTRONPASTEIS TAN";"alimentação";
"ELECTRONRAIA 47";"farmacia";
"INT TED  160641 SEGURO";"seguro";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SALDO DO DIA";"saldo";
"SALDO ANTERIOR";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TAR PACOTE ITAU   SET/20";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SAQUE 24H 14082226 04/10";"saque";
"ELECTRONPAG*BOMBONI";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"LIS/JUROS     14 DIAS";"juros";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT NEXTEL 9699999704015";"celular";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT NEXTEL 9699999703948";"celular";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONDROGARIA PR";"farmacia";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONFCIA PAGUE";"compras";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSONDA TREME";"mercado";
"TED 237.0001BRADESCO SAU";"rembolso";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109022757711";"boleto";
"SAQUE 24H 12755310 11/10";"saque";
"TBI 0747.56106-6";"emprestimo";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONBD";"compras";
"ELECTRONPARK NOW ES";"boleto";
"ELECTRONRAIA 47";"farmacia";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA TREME";"mercado";
"SEGURO CARTAO";"banco";
"DEB AUTOR UNICEF";"doação";
"SALDO DO DIA";"saldo";
"ELECTRONHABIBS";"alimentação";
"ELECTRONRAGAZZO CAE";"alimentação";
"ELECTRONRAGAZZO CAE";"alimentação";
"TBI 0747.56106-6";"devolução";
"SALDO DO DIA";"saldo";
"CEI     000021 DINHEIRO";"devolução";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONAUTO POSTO";"gasolina";
"INT ITAUCARD";"cartão credito";
"TBI 9293.22915-0/500";"resgate";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONFERNANDA GO";"compras";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONMC DONALDS";"alimentação";
"ELECTRONMERCPAGO";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA TREME";"mercado";
"SAQUE S/CARTAO 24H109864";"saque";
"SALDO DO DIA";"saldo";
"ELECTRONFCIA PAGUE";"alimentação";
"ELECTRONSONDA TREME";"mercado";
"SALDO DO DIA";"saldo";
"INT  PAG TIT BANCO 033";"boleto";
"INT  PAG TIT BANCO 237";"seguro";
"ELECTRONSILVIO NAKA";"compras";
"SALDO DO DIA";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"TBI 7633.10704-514522";"azul";
"SALDO DO DIA";"saldo";
"SAQUE 24H 10705093 25/10";"saque";
"ELECTRONBD";"compras";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONMOCOTO REST";"alimentação";
"SALDO DO DIA";"saldo";
"TBI 2959.24196-5     C/C";"reembolso";
"INT TED  554013 SEMI";"saldo";
"TBI 9293.22915-0/500";"resgate";
"TBI 9293.22915-0/500";"resgate";
"SALDO DO DIA";"saldo";
"TBI 0534.18071-6     C/C";"saldo";
"ELECTRONFCIA PAGUE";"compras";
"SALDO DO DIA";"saldo";
"SALDO ANTERIOR";"saldo";
"SAQUE 24H 13727318 01/11";"saque";
"ELECTRONFEIRANTE";"feira";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONOURINHOS SU";"mercado";
"ELECTRONPAG*CamilaT";"compras";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONSANDROHAIR";"cabeleireiro";
"ELECTRONSANDROHAIR";"cabeleireiro";
"ELECTRONSONDA JACAN";"mercado";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONDROGARIA PR";"farmacia";
"TAR PACOTE ITAU   OUT/20";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TBI 0057.13714-3     C/C";"saque";
"ELECTRONFURACAO DA";"compras";
"ELECTRONRAIA 47";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"LIS/JUROS     17 DIAS";"juros";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONCANTAREIRA";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109027453506";"boleto";
"SAQUE 24H 17920331 08/11";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONBD";"compras";
"ELECTRONCARLOS REIS";"frango";
"ELECTRONCLAUDIA KAN";"compras";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONHABIBS";"alimentação";
"ELECTRONMEU CHAPA B";"alimentação";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONVALENS BAR";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SEGURO CARTAO";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT NEXTEL 9799999699806";"celular";
"ELECTRONCENTURY PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONMEU CHAPA B";"alimentação";
"ELECTRONSONEDA PERF";"compras";
"SALDO DO DIA";"saldo";
"ELECTRONPARK NOW ES";"boleto";
"ELECTRONTRIMAIS SUP";"mercado";
"DEB AUTOR UNICEF";"doação";
"SALDO DO DIA";"saldo";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"SALDO DO DIA";"saldo";
"SAQUE 24H 12468625 15/11";"saque";
"ELECTRONDONAJU";"compras";
"ELECTRONHABIBS";"alimentação";
"ELECTRONJAILSON BAL";"compras";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONPAG*Frigott";"frango";
"ELECTRONPAG*HiroCal";"farmacia";
"ELECTRONPASTEIS NIS";"alimentação";
"ELECTRONRAIA 47";"farmacia";
"ELECTRONTRIMAIS SUP";"mercado";
"INT ITAUCARD";"cartão credito";
"TED 237.2846ANDRE N BARB";"salario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONM A KOCH LA";"compras";
"ELECTRONPARK NOW ES";"boleto";
"ELECTRONSANTO GOLE";"boleto";
"ELECTRONTRIMAIS SUP";"mercado";
"ELECTRONTRIMAIS SUP";"mercado";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"TED 340.0000SAMUEL JOSE";"entrada";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TBI 0747.56106-6     C/C";"deposito";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONBD";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONTRIMAIS SUP";"mercado";
"TBI 0747.56106-6     C/C";"deposito";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONARLINDO VAL";"compras";
"ELECTRONSANTANA DRI";"compras";
"ELECTRONJOHNNYS 535";"compras";
"ELECTRONPAG*CaioVin";"compras";
"ELECTRONMERCPAGO";"compras";
"ELECTRONMERCPAGO";"compras";
"ELECTRONMC DONALDS";"alimentação";
"SALDO DO DIA";"saldo";
"ELECTRONPLAYLAND -";"compras";
"ELECTRONSANTANA DRI";"compras";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONCANDYMELL";"compras";
"PIX TRANSF  FRANCIS26/11";"transferencia";
"PIX TRANSF  FRANCIS26/11";"transferencia";
"EST PIX TF  FRANCISCO";"estorno";
"EST PIX TF  FRANCISCO";"estorno";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TBI 0745.13546-7     C/C";"transferencia";
"ELECTRONBD";"compras";
"ELECTRONTRIMAIS SUP";"mercado";
"BO  PROMOCAO PIX CADAST";"entrada";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONPARK PLACE";"estacionamento";
"ELECTRONHABIB S";"alimentação";
"SAQUE 24H 15720220 29/11";"feira";
"ELECTRONPAG*Frigott";"frango";
"TED 237.2846ANDRE N BA";"salario";
"SALDO DO DIA";"saldo";
"ELECTRONESTAPAR SHO";"estacionamento";
"PIX TRANSF  ALEXAND23/01";"cabeleireiro";
"INT PAG TIT 109046299963";"boleto";
"INT  PAG TIT BANCO 077";"juros";
"INT NEXTEL 9099999687157";"celular";
"SALDO ANTERIOR";"saldo";
"SAQUE 24H 12244067 31/01";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONAV ZACHI NA";"alimentação";
"ELECTRONBD";"agua";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONFERNANDA GO";"alimentação";
"ELECTRONPAG*Frigott";"frango";
"PIX TRANSF  ANDRE N31/01";"salario";
"PIX TRANSF  ANDRE N31/01";"salario";
"IOF";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"TBI 9293.22915-0/500";"poupança";
"ELECTRONTRIMAIS SUP";"mercado";
"PIX TRANSF  Ana Mar02/02";"benção";
"TED 237.0001BRADESCO SAU";"reembolso";
"TAR PACOTE ITAU   JAN/21";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONFARMAVAN XI";"farmacia";
"INT TED  467957";"seminario";
"SDO CTA/APL AUTOMATICAS";"saldo";
"ELECTRONBD";"agua";
"ELECTRONSALAO FERNA";"michelle";
"LIS/JUROS     24 DIAS";"banco";
"SDO CTA/APL AUTOMATICAS";"saldo";
"INT PAG TIT 109046299963";"condominio";
"INT  PAG TIT BANCO 077";"creche";
"INT NEXTEL 9099999687157";"celular";
"ELECTRONAUTO POSTO";"gasolina";
"ELECTRONBREADS VALL";"compras";
"ELECTRONCENTER CHIC";"compras";
"ELECTRONCONFECCOES";"compras";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONFERNANDA GO";"compras";
"ELECTRONFERNANDA GO";"compras";
"ELECTRONTRIMAIS SUP";"mercado";
"TED 237.0001BRADESCO SAU";"rembolso";
"PIX TRANSF  EDUARDO06/02";"tapete";
"SALDO DO DIA";"saldo";
"INT NEXTEL 9499999687161";"celular";
"ELECTRONDROGARIA PR";"farmacia";
"SALDO DO DIA";"saldo";
