descrição;data;lançamento;ag./origem;valor (R$);valor_convertido_saida (R$);valor_convertido_entrada (R$);REF;dt_pagto_bq;dt_custo_bq
compras;26/02/2020;ELECTRONSHOKITI;9212;-2,99;2.99;0;01/02/2020;2020-02-01;2020-02-26
mercado;26/02/2020;ELECTRONSONDA JACAN;9212;-36,57;36.57;0;01/02/2020;2020-02-01;2020-02-26
mercado;26/02/2020;ELECTRONSONDA TREME;9212;-92,33;92.33;0;01/02/2020;2020-02-01;2020-02-26
saldo;26/02/2020;SALDO PARCIAL;;-1208,44;0;0;01/02/2020;2020-02-01;2020-02-26
saldo;26/02/2020;SALDO ANTERIOR;;-1208,44;0;0;01/02/2020;2020-02-01;2020-02-26
alimentação;26/02/2020;ELECTRONSUBWAY ARIC;9212;-21;21;0;01/02/2020;2020-02-01;2020-02-26
entrada;26/02/2020;TBI 4833.46062-1/500;4175;170;0;170;01/02/2020;2020-02-01;2020-02-26
compras;27/02/2020;ELECTRONSHOKITI;9212;-3,49;3.49;0;01/02/2020;2020-02-01;2020-02-27
compras;28/02/2020;ELECTRONSHOKITI;9212;-2,99;2.99;0;01/02/2020;2020-02-01;2020-02-28
salario;28/02/2020;TED 237.2846ANDRE N BARB;;2618,65;0;2618,65;01/02/2020;2020-02-01;2020-02-28
saldo;28/02/2020;APL APLIC AUT MAIS;;-1542,73;0;-1542,73;01/02/2020;2020-02-01;2020-02-28
saldo;28/02/2020;SALDO APLIC AUT MAIS;;1542,73;0;1542,73;01/02/2020;2020-02-01;2020-02-28
saldo;28/02/2020;SALDO FINAL;;10;0;10;01/02/2020;2020-02-01;2020-02-28
saldo;02/03/2020;SALDO INICIAL;;10;0;10;01/03/2020;2020-03-01;2020-03-02
saque;02/03/2020;CXE 000141 SAQUE 29/02;6855;-150;150;0;01/03/2020;2020-03-01;2020-03-02
compras;02/03/2020;ELECTRONCOM DE FRAN;9212;-20;20;0;01/03/2020;2020-03-01;2020-03-02
alimentação;02/03/2020;ELECTRONDEPOSITO DO;9212;-29;29;0;01/03/2020;2020-03-01;2020-03-02
compras;02/03/2020;ELECTRONPAG*Danubia;9212;-8;8;0;01/03/2020;2020-03-01;2020-03-02
compras;02/03/2020;ELECTRONTIAGO COELH;9212;-10;10;0;01/03/2020;2020-03-01;2020-03-02
seminario;02/03/2020;INT TED  040954 SEMINRI;4175;-283,5;283.5;0;01/03/2020;2020-03-01;2020-03-02
banco;02/03/2020;IOF;;-6,03;6.03;0;01/03/2020;2020-03-01;2020-03-02
banco;02/03/2020;RES APLIC AUT MAIS;;506,53;0;506,53;01/03/2020;2020-03-01;2020-03-02
saldo;02/03/2020;SALDO APLIC AUT MAIS;;1036,2;0;1036,2;01/03/2020;2020-03-01;2020-03-02
banco;03/03/2020;TAR PACOTE ITAU   FEV/20;9293;-76,9;76.9;0;01/03/2020;2020-03-01;2020-03-03
banco;03/03/2020;RES APLIC AUT MAIS;;76,9;0;76,9;01/03/2020;2020-03-01;2020-03-03
saldo;03/03/2020;SALDO APLIC AUT MAIS;;959,3;0;959,3;01/03/2020;2020-03-01;2020-03-03
saldo;04/03/2020;SALDO APLIC AUT MAIS;;959,3;0;959,3;01/03/2020;2020-03-01;2020-03-04
juros;05/03/2020;LIS/JUROS     12 DIAS;;-15,29;15.29;0;01/03/2020;2020-03-01;2020-03-05
banco;05/03/2020;RES APLIC AUT MAIS;;15,29;0;15,29;01/03/2020;2020-03-01;2020-03-05
saldo;05/03/2020;SALDO APLIC AUT MAIS;;944,01;0;944,01;01/03/2020;2020-03-01;2020-03-05
saque;06/03/2020;SAQUE CARTAO MAGNETICO;3130;-100;100;0;01/03/2020;2020-03-01;2020-03-06
compras;06/03/2020;RSHOP-AUTOPASS   -06/03;5934;-50;50;0;01/03/2020;2020-03-01;2020-03-06
banco;06/03/2020;RES APLIC AUT MAIS;;150;0;150;01/03/2020;2020-03-01;2020-03-06
saldo;06/03/2020;SALDO APLIC AUT MAIS;;794,01;0;794,01;01/03/2020;2020-03-01;2020-03-06
saque;09/03/2020;CXE 001370 SAQUE 07/03;3036;-500;500;0;01/03/2020;2020-03-01;2020-03-09
farmacia;09/03/2020;RSHOP-DROGARIA PR-07/03;5934;-72,16;72.16;0;01/03/2020;2020-03-01;2020-03-09
compras;09/03/2020;RSHOP-LOJAS BECKE-07/03;5934;-24,99;24.99;0;01/03/2020;2020-03-01;2020-03-09
doação;09/03/2020;DEB AUTOR UNICEF;9293;-75;75;0;01/03/2020;2020-03-01;2020-03-09
banco;09/03/2020;RES APLIC AUT MAIS;;672,14;0;672,14;01/03/2020;2020-03-01;2020-03-09
saldo;09/03/2020;REND PAGO APLIC AUT MAIS;;0,01;0;0,01;01/03/2020;2020-03-01;2020-03-09
saldo;09/03/2020;SALDO APLIC AUT MAIS;;121,87;0;121,87;01/03/2020;2020-03-01;2020-03-09
compras;10/03/2020;RSHOP-PERTO METRO-10/03;5934;-50;50;0;01/03/2020;2020-03-01;2020-03-10
compras;10/03/2020;RSHOP-SHOKITI    -10/03;5934;-2,99;2.99;0;01/03/2020;2020-03-01;2020-03-10
banco;10/03/2020;SEGURO CARTAO;9293;-6,41;6.41;0;01/03/2020;2020-03-01;2020-03-10
banco;10/03/2020;RES APLIC AUT MAIS;;59,4;0;59,4;01/03/2020;2020-03-01;2020-03-10
saldo;10/03/2020;SALDO APLIC AUT MAIS;;62,47;0;62,47;01/03/2020;2020-03-01;2020-03-10
compras;11/03/2020;RSHOP-LOJAS RENNE-11/03;5934;-219,4;219.4;0;01/03/2020;2020-03-01;2020-03-11
compras;11/03/2020;RSHOP-RIACHUELO 1-11/03;5934;-35,9;35.9;0;01/03/2020;2020-03-01;2020-03-11
compras;11/03/2020;RSHOP-SANTA FE   -11/03;5934;-23,87;23.87;0;01/03/2020;2020-03-01;2020-03-11
banco;11/03/2020;RES APLIC AUT MAIS;;62,47;0;62,47;01/03/2020;2020-03-01;2020-03-11
alimentação;12/03/2020;RSHOP-MC DONALDS -12/03;5934;-19,5;19.5;0;01/03/2020;2020-03-01;2020-03-12
alimentação;12/03/2020;RSHOP-MC DONALDS -12/03;5934;-14,9;14.9;0;01/03/2020;2020-03-01;2020-03-12
mercado;12/03/2020;RSHOP-SONDA TREME-12/03;5934;-22,32;22.32;0;01/03/2020;2020-03-01;2020-03-12
celular;12/03/2020;INT NEXTEL 9999999734880;4175;-60;60;0;01/03/2020;2020-03-01;2020-03-12
celular;12/03/2020;INT NEXTEL 9999999734880;4175;-90;90;0;01/03/2020;2020-03-01;2020-03-12
compras;13/03/2020;RSHOP-PAG*PointDo-13/03;5934;-5,5;5.5;0;01/03/2020;2020-03-01;2020-03-13
compras;13/03/2020;RSHOP-PAG*WpaperM-13/03;5934;-25,5;25.5;0;01/03/2020;2020-03-01;2020-03-13
compras;13/03/2020;RSHOP-PAO TO GO  -13/03;5934;-19;19;0;01/03/2020;2020-03-01;2020-03-13
compras;13/03/2020;RSHOP-PRINCESA DA-13/03;5934;-22,61;22.61;0;01/03/2020;2020-03-01;2020-03-13
compras;13/03/2020;RSHOP-SHOKITI    -13/03;5934;-2,99;2.99;0;01/03/2020;2020-03-01;2020-03-13
dpvat;13/03/2020;INT DPVAT-SP HOH-6396;4175;-5,23;5.23;0;01/03/2020;2020-03-01;2020-03-13
ipva;13/03/2020;INT IPVA-SP HOH-6396;4175;-360,77;360.77;0;01/03/2020;2020-03-01;2020-03-13
cartão credito;13/03/2020;INT ITAUCARD;4175;-2972,19;2972.19;0;01/03/2020;2020-03-01;2020-03-13
resgate;13/03/2020;TBI 9293.22915-0/500;4175;2000;0;2000;01/03/2020;2020-03-01;2020-03-13
salario;13/03/2020;TED 237.2846ANDRE N BARB;;4390;0;4390;01/03/2020;2020-03-01;2020-03-13
saldo;13/03/2020;APL APLIC AUT MAIS;;-2552,79;0;-2552,79;01/03/2020;2020-03-01;2020-03-13
saldo;13/03/2020;SALDO APLIC AUT MAIS;;2552,79;0;2552,79;01/03/2020;2020-03-01;2020-03-13
saldo;13/03/2020;SALDO PARCIAL;;10;0;10;01/03/2020;2020-03-01;2020-03-13
saldo;13/03/2020;SALDO ANTERIOR;;10;0;0;01/03/2020;2020-03-01;2020-03-13
viagem;16/03/2020;RSHOP-IRA CAVALCA-16/03;5934;-317,9;317.9;0;01/03/2020;2020-03-01;2020-03-16
viagem;16/03/2020;RSHOP-KETENE     -15/03;5934;-9;9;0;01/03/2020;2020-03-01;2020-03-16
viagem;16/03/2020;RSHOP-LGA LANCHON-14/03;5934;-17;17;0;01/03/2020;2020-03-01;2020-03-16
banco;16/03/2020;RES APLIC AUT MAIS;;343,9;0;343,9;01/03/2020;2020-03-01;2020-03-16
saldo;16/03/2020;SALDO APLIC AUT MAIS;;2208,89;0;2208,89;01/03/2020;2020-03-01;2020-03-16
viagem;17/03/2020;RSHOP-PAG*Givaldo-17/03;5934;-240;240;0;01/03/2020;2020-03-01;2020-03-17
banco;17/03/2020;RES APLIC AUT MAIS;;240;0;240;01/03/2020;2020-03-01;2020-03-17
saldo;17/03/2020;SALDO APLIC AUT MAIS;;1968,89;0;1968,89;01/03/2020;2020-03-01;2020-03-17
viagem;18/03/2020;RSHOP-PAG*Sebasti-18/03;5934;-27,2;27.2;0;01/03/2020;2020-03-01;2020-03-18
viagem;18/03/2020;RSHOP-PAG*Sebasti-18/03;5934;-7;7;0;01/03/2020;2020-03-01;2020-03-18
viagem;18/03/2020;RSHOP-ZP *CICERO -18/03;5934;-75,48;75.48;0;01/03/2020;2020-03-01;2020-03-18
banco;18/03/2020;RES APLIC AUT MAIS;;109,68;0;109,68;01/03/2020;2020-03-01;2020-03-18
saldo;18/03/2020;SALDO APLIC AUT MAIS;;1859,21;0;1859,21;01/03/2020;2020-03-01;2020-03-18
viagem;19/03/2020;RSHOP-PAG*Restaur-19/03;5934;-100;100;0;01/03/2020;2020-03-01;2020-03-19
viagem;19/03/2020;RSHOP-SUPERMAR   -19/03;5934;-11,96;11.96;0;01/03/2020;2020-03-01;2020-03-19
viagem;19/03/2020;RSHOP-SUPERMAR   -19/03;5934;-1,98;1.98;0;01/03/2020;2020-03-01;2020-03-19
banco;19/03/2020;RES APLIC AUT MAIS;;113,94;0;113,94;01/03/2020;2020-03-01;2020-03-19
saldo;19/03/2020;SALDO APLIC AUT MAIS;;1745,27;0;1745,27;01/03/2020;2020-03-01;2020-03-19
saldo;20/03/2020;SALDO APLIC AUT MAIS;;1745,27;0;1745,27;01/03/2020;2020-03-01;2020-03-20
viagem;23/03/2020;CXE 000646 SAQUE 22/03;748;-100;100;0;01/03/2020;2020-03-01;2020-03-23
viagem;23/03/2020;RSHOP-CIA DA LAGO-21/03;5934;-1000;1000;0;01/03/2020;2020-03-01;2020-03-23
farmacia;23/03/2020;RSHOP-DROGARIA PR-23/03;5934;-48,93;48.93;0;01/03/2020;2020-03-01;2020-03-23
frango;23/03/2020;RSHOP-PAG*Frigott-22/03;5934;-45,5;45.5;0;01/03/2020;2020-03-01;2020-03-23
mercado;23/03/2020;RSHOP-SONDA JACAN-22/03;5934;-664,9;664.9;0;01/03/2020;2020-03-01;2020-03-23
mercado;23/03/2020;RSHOP-SONDA JACAN-23/03;5934;-6,43;6.43;0;01/03/2020;2020-03-01;2020-03-23
mercado;23/03/2020;RSHOP-SONDA TREME-22/03;5934;-118,25;118.25;0;01/03/2020;2020-03-01;2020-03-23
mercado;23/03/2020;RSHOP-SONDA TREME-23/03;5934;-23,48;23.48;0;01/03/2020;2020-03-01;2020-03-23
banco;23/03/2020;RES APLIC AUT MAIS;;1745,27;0;1745,27;01/03/2020;2020-03-01;2020-03-23
saldo;23/03/2020;REND PAGO APLIC AUT MAIS;;0,01;0;0,01;01/03/2020;2020-03-01;2020-03-23
farmacia;24/03/2020;RSHOP-DROGARIA PR-24/03;5934;-35,54;35.54;0;01/03/2020;2020-03-01;2020-03-24
compras;25/03/2020;RSHOP-PAG*barraca-25/03;5934;-17;17;0;01/03/2020;2020-03-01;2020-03-25
boleto;27/03/2020;INT  PAG TIT BANCO 237;4175;-410,83;410.83;0;01/03/2020;2020-03-01;2020-03-27
farmacia;30/03/2020;RSHOP-DROGARIA MA-29/03;5934;-8,99;8.99;0;01/03/2020;2020-03-01;2020-03-30
feira;30/03/2020;RSHOP-FEIRANTE   -29/03;5934;-10;10;0;01/03/2020;2020-03-01;2020-03-30
compras;30/03/2020;RSHOP-PAG*CleliaA-29/03;5934;-8;8;0;01/03/2020;2020-03-01;2020-03-30
compras;30/03/2020;RSHOP-PAG*RafaelF-29/03;5934;-10;10;0;01/03/2020;2020-03-01;2020-03-30
gasolina;30/03/2020;RSHOP-POSTO FLORI-28/03;5934;-141;141;0;01/03/2020;2020-03-01;2020-03-30
mercado;30/03/2020;RSHOP-SONDA JACAN-29/03;5934;-32,59;32.59;0;01/03/2020;2020-03-01;2020-03-30
mercado;30/03/2020;RSHOP-SONDA TREME-28/03;5934;-251,44;251.44;0;01/03/2020;2020-03-01;2020-03-30
boleto;30/03/2020;INT  PAG TIT BANCO 237;4175;-197,59;197.59;0;01/03/2020;2020-03-01;2020-03-30
doação;30/03/2020;TBI 0057.13714-3DILSHAD;4175;-100;100;0;01/03/2020;2020-03-01;2020-03-30
mercado;31/03/2020;RSHOP-SONDA TREME-31/03;5934;-232,82;232.82;0;01/03/2020;2020-03-01;2020-03-31
salario;31/03/2020;TED 237.2846ANDRE N BARB;;3285,26;0;3285,26;01/03/2020;2020-03-01;2020-03-31
saldo;31/03/2020;APL APLIC AUT MAIS;;-1567,25;0;-1567,25;01/03/2020;2020-03-01;2020-03-31
saldo;31/03/2020;SALDO APLIC AUT MAIS;;1567,25;0;1567,25;01/03/2020;2020-03-01;2020-03-31
saldo;31/03/2020;SALDO FINAL;;10;0;10;01/03/2020;2020-03-01;2020-03-31
saldo;01/04/2020;SALDO INICIAL;;10;0;10;01/04/2020;2020-04-01;2020-04-01
farmacia;01/04/2020;RSHOP-DROGARIA PR-01/04;5934;-21,99;21.99;0;01/04/2020;2020-04-01;2020-04-01
alimentação;01/04/2020;RSHOP-SWIFT NOVA -01/04;5934;-19,92;19.92;0;01/04/2020;2020-04-01;2020-04-01
banco;01/04/2020;IOF;;-7,61;7.61;0;01/04/2020;2020-04-01;2020-04-01
banco;01/04/2020;RES APLIC AUT MAIS;;49,52;0;49,52;01/04/2020;2020-04-01;2020-04-01
saldo;01/04/2020;SALDO APLIC AUT MAIS;;1517,73;0;1517,73;01/04/2020;2020-04-01;2020-04-01
banco;02/04/2020;TAR PACOTE ITAU   MAR/20;9293;-76,9;76.9;0;01/04/2020;2020-04-01;2020-04-02
banco;02/04/2020;RES APLIC AUT MAIS;;76,9;0;76,9;01/04/2020;2020-04-01;2020-04-02
saldo;02/04/2020;SALDO APLIC AUT MAIS;;1440,83;0;1440,83;01/04/2020;2020-04-01;2020-04-02
compras;03/04/2020;RSHOP-LOJAS AMERI-03/04;5934;-65,6;65.6;0;01/04/2020;2020-04-01;2020-04-03
compras;03/04/2020;RSHOP-MARTINS & R-03/04;5934;-34;34;0;01/04/2020;2020-04-01;2020-04-03
farmacia;03/04/2020;RSHOP-RAIA 47    -03/04;5934;-10,09;10.09;0;01/04/2020;2020-04-01;2020-04-03
mercado;03/04/2020;RSHOP-SONDA TREME-03/04;5934;-119,63;119.63;0;01/04/2020;2020-04-01;2020-04-03
banco;03/04/2020;RES APLIC AUT MAIS;;229,32;0;229,32;01/04/2020;2020-04-01;2020-04-03
saldo;03/04/2020;SALDO APLIC AUT MAIS;;1211,51;0;1211,51;01/04/2020;2020-04-01;2020-04-03
saque;06/04/2020;CXE 000547 SAQUE 04/04;6855;-100;100;0;01/04/2020;2020-04-01;2020-04-06
gasolina;06/04/2020;RSHOP-AUTO POSTO -04/04;5934;-28,4;28.4;0;01/04/2020;2020-04-01;2020-04-06
gasolina;06/04/2020;RSHOP-AUTO POSTO -04/04;5934;-93,98;93.98;0;01/04/2020;2020-04-01;2020-04-06
compras;06/04/2020;RSHOP-DICICO TREM-04/04;5934;-100,66;100.66;0;01/04/2020;2020-04-01;2020-04-06
compras;06/04/2020;RSHOP-DOM JOSE   -04/04;5934;-51;51;0;01/04/2020;2020-04-01;2020-04-06
farmacia;06/04/2020;RSHOP-DROGARIA PR-06/04;5934;-21,99;21.99;0;01/04/2020;2020-04-01;2020-04-06
farmacia;06/04/2020;RSHOP-DROGARIA NO-04/04;5934;-3,5;3.5;0;01/04/2020;2020-04-01;2020-04-06
farmacia;06/04/2020;RSHOP-DROGARIA NO-04/04;5934;-23;23;0;01/04/2020;2020-04-01;2020-04-06
feira;06/04/2020;RSHOP-HORTIFRUTI -04/04;5934;-16;16;0;01/04/2020;2020-04-01;2020-04-06
compras;06/04/2020;RSHOP-LEVI DA SIL-04/04;5934;-10;10;0;01/04/2020;2020-04-01;2020-04-06
compras;06/04/2020;RSHOP-M A KOCH LA-04/04;5934;-35;35;0;01/04/2020;2020-04-01;2020-04-06
mercado;06/04/2020;RSHOP-MERCADINHO -04/04;5934;-7,66;7.66;0;01/04/2020;2020-04-01;2020-04-06
farmacia;06/04/2020;RSHOP-RAIA 153   -04/04;5934;-5,69;5.69;0;01/04/2020;2020-04-01;2020-04-06
mercado;06/04/2020;RSHOP-SONDA TREME-04/04;5934;-42,64;42.64;0;01/04/2020;2020-04-01;2020-04-06
mercado;06/04/2020;RSHOP-SONDA TREME-05/04;5934;-82,19;82.19;0;01/04/2020;2020-04-01;2020-04-06
mercado;06/04/2020;RSHOP-SONDA TREME-06/04;5934;-140,95;140.95;0;01/04/2020;2020-04-01;2020-04-06
banco;06/04/2020;RES APLIC AUT MAIS;;762,66;0;762,66;01/04/2020;2020-04-01;2020-04-06
saldo;06/04/2020;SALDO APLIC AUT MAIS;;448,85;0;448,85;01/04/2020;2020-04-01;2020-04-06
mercado;07/04/2020;RSHOP-SONDA TREME-07/04;5934;-76,98;76.98;0;01/04/2020;2020-04-01;2020-04-07
celular;07/04/2020;INT NEXTEL 9099999730370;4175;-90;90;0;01/04/2020;2020-04-01;2020-04-07
celular;07/04/2020;INT NEXTEL 9199999730370;4175;-60;60;0;01/04/2020;2020-04-01;2020-04-07
banco;07/04/2020;RES APLIC AUT MAIS;;226,98;0;226,98;01/04/2020;2020-04-01;2020-04-07
saldo;07/04/2020;SALDO APLIC AUT MAIS;;221,87;0;221,87;01/04/2020;2020-04-01;2020-04-07
doação;08/04/2020;DEB AUTOR UNICEF;9293;-75;75;0;01/04/2020;2020-04-01;2020-04-08
banco;08/04/2020;RES APLIC AUT MAIS;;75;0;75;01/04/2020;2020-04-01;2020-04-08
saldo;08/04/2020;SALDO APLIC AUT MAIS;;146,87;0;146,87;01/04/2020;2020-04-01;2020-04-08
saque;09/04/2020;CXE     000331 SAQUE;3036;-100;100;0;01/04/2020;2020-04-01;2020-04-09
gasolina;09/04/2020;RSHOP-AUTO POSTO -09/04;5934;-17,97;17.97;0;01/04/2020;2020-04-01;2020-04-09
banco;09/04/2020;RES APLIC AUT MAIS;;117,97;0;117,97;01/04/2020;2020-04-01;2020-04-09
saldo;09/04/2020;SALDO APLIC AUT MAIS;;28,9;0;28,9;01/04/2020;2020-04-01;2020-04-09
padaria;13/04/2020;RSHOP-ARIZONA PAE-13/04;5934;-7,44;7.44;0;01/04/2020;2020-04-01;2020-04-13
alimentação;13/04/2020;RSHOP-CHOCOLATES -12/04;5934;-106,1;106.1;0;01/04/2020;2020-04-01;2020-04-13
farmacia;13/04/2020;RSHOP-DROGARIA PR-11/04;5934;-21,99;21.99;0;01/04/2020;2020-04-01;2020-04-13
alimentação;13/04/2020;RSHOP-ESPETO DO V-11/04;5934;-100;100;0;01/04/2020;2020-04-01;2020-04-13
padaria;13/04/2020;RSHOP-PADARIA NOV-12/04;5934;-25;25;0;01/04/2020;2020-04-01;2020-04-13
compras;13/04/2020;RSHOP-PAG*JoseGil-12/04;5934;-10;10;0;01/04/2020;2020-04-01;2020-04-13
mercado;13/04/2020;RSHOP-SONDA JACAN-12/04;5934;-72,96;72.96;0;01/04/2020;2020-04-01;2020-04-13
compras;13/04/2020;RSHOP-STELO*MARIO-12/04;5934;-7,5;7.5;0;01/04/2020;2020-04-01;2020-04-13
banco;13/04/2020;SEGURO CARTAO;9293;-6,61;6.61;0;01/04/2020;2020-04-01;2020-04-13
saldo;13/04/2020;SALDO PARCIAL;;-347,6;0;0;01/04/2020;2020-04-01;2020-04-13
saldo;13/04/2020;SALDO ANTERIOR;;-347,6;0;0;01/04/2020;2020-04-01;2020-04-13
banco;13/04/2020;RES APLIC AUT MAIS;;28,9;0;28,9;01/04/2020;2020-04-01;2020-04-13
alimentação;14/04/2020;RSHOP-HABIBS     -14/04;5934;-37,5;37.5;0;01/04/2020;2020-04-01;2020-04-14
mercado;14/04/2020;RSHOP-SONDA JACAN-14/04;5934;-86,74;86.74;0;01/04/2020;2020-04-01;2020-04-14
padaria;15/04/2020;RSHOP-ARIZONA PAE-15/04;5934;-14,42;14.42;0;01/04/2020;2020-04-01;2020-04-15
farmacia;15/04/2020;RSHOP-PAG*FarmaEF-15/04;5934;-14,99;14.99;0;01/04/2020;2020-04-01;2020-04-15
farmacia;15/04/2020;RSHOP-PAG*FarmaEF-15/04;5934;-2,5;2.5;0;01/04/2020;2020-04-01;2020-04-15
deposito;15/04/2020;TBI 2948.08717-2     C/C;4175;-30;30;0;01/04/2020;2020-04-01;2020-04-15
cartão credito;15/04/2020;INT ITAUCARD;4175;-3859,33;3859.33;0;01/04/2020;2020-04-01;2020-04-15
resgate;15/04/2020;TBI 9293.22915-0/500;4175;700;0;700;01/04/2020;2020-04-01;2020-04-15
salario;15/04/2020;TED 237.2846ANDRE N BARB;;4390;0;4390;01/04/2020;2020-04-01;2020-04-15
saldo;15/04/2020;APL APLIC AUT MAIS;;-715,82;0;-715,82;01/04/2020;2020-04-01;2020-04-15
saldo;15/04/2020;SALDO APLIC AUT MAIS;;715,82;0;715,82;01/04/2020;2020-04-01;2020-04-15
compras;16/04/2020;RSHOP-COMANDO JOV-16/04;5934;-8;8;0;01/04/2020;2020-04-01;2020-04-16
compras;16/04/2020;RSHOP-COMERCIO DE-16/04;5934;-16;16;0;01/04/2020;2020-04-01;2020-04-16
compras;16/04/2020;RSHOP-ECIVALDO CA-16/04;5934;-60;60;0;01/04/2020;2020-04-01;2020-04-16
compras;16/04/2020;RSHOP-PAG*diegoej-16/04;5934;-4;4;0;01/04/2020;2020-04-01;2020-04-16
compras;16/04/2020;RSHOP-PAG*Taylane-16/04;5934;-10;10;0;01/04/2020;2020-04-01;2020-04-16
banco;16/04/2020;RES APLIC AUT MAIS;;98;0;98;01/04/2020;2020-04-01;2020-04-16
saldo;16/04/2020;SALDO APLIC AUT MAIS;;617,82;0;617,82;01/04/2020;2020-04-01;2020-04-16
farmacia;17/04/2020;RSHOP-DROGARIA PR-17/04;5934;-23,49;23.49;0;01/04/2020;2020-04-01;2020-04-17
banco;17/04/2020;RES APLIC AUT MAIS;;23,49;0;23,49;01/04/2020;2020-04-01;2020-04-17
saldo;17/04/2020;SALDO APLIC AUT MAIS;;594,33;0;594,33;01/04/2020;2020-04-01;2020-04-17
alimentação;20/04/2020;RSHOP-ADEGA DO AL-18/04;5934;-10;10;0;01/04/2020;2020-04-01;2020-04-20
padaria;20/04/2020;RSHOP-ARIZONA PAE-18/04;5934;-6,94;6.94;0;01/04/2020;2020-04-01;2020-04-20
farmacia;20/04/2020;RSHOP-DROGARIA MA-19/04;5934;-14,42;14.42;0;01/04/2020;2020-04-01;2020-04-20
compras;20/04/2020;RSHOP-EVANDRO G N-19/04;5934;-32,5;32.5;0;01/04/2020;2020-04-01;2020-04-20
farmacia;20/04/2020;RSHOP-FARMAVAN XI-18/04;5934;-3,99;3.99;0;01/04/2020;2020-04-01;2020-04-20
mercado;20/04/2020;RSHOP-OURINHOS SU-18/04;5934;-6;6;0;01/04/2020;2020-04-01;2020-04-20
mercado;20/04/2020;RSHOP-SONDA JACAN-19/04;5934;-25,08;25.08;0;01/04/2020;2020-04-01;2020-04-20
banco;20/04/2020;RES APLIC AUT MAIS;;98,93;0;98,93;01/04/2020;2020-04-01;2020-04-20
saldo;20/04/2020;SALDO APLIC AUT MAIS;;495,4;0;495,4;01/04/2020;2020-04-01;2020-04-20
padaria;22/04/2020;RSHOP-ARIZONA PAE-21/04;5934;-5,84;5.84;0;01/04/2020;2020-04-01;2020-04-22
boleto;22/04/2020;INT TED D   404795 SEGUR;4175;-197,78;197.78;0;01/04/2020;2020-04-01;2020-04-22
banco;22/04/2020;RES APLIC AUT MAIS;;203,62;0;203,62;01/04/2020;2020-04-01;2020-04-22
saldo;22/04/2020;SALDO APLIC AUT MAIS;;291,78;0;291,78;01/04/2020;2020-04-01;2020-04-22
saque;23/04/2020;CXE     000133 SAQUE;3036;-500;500;0;01/04/2020;2020-04-01;2020-04-23
padaria;23/04/2020;RSHOP-ARIZONA PAE-23/04;5934;-16,8;16.8;0;01/04/2020;2020-04-01;2020-04-23
banco;23/04/2020;RES APLIC AUT MAIS;;291,78;0;291,78;01/04/2020;2020-04-01;2020-04-23
gasolina;24/04/2020;RSHOP-AUTO POSTO -24/04;5934;-50;50;0;01/04/2020;2020-04-01;2020-04-24
mercado;24/04/2020;RSHOP-MERCADINHO -24/04;5934;-27,17;27.17;0;01/04/2020;2020-04-01;2020-04-24
compras;27/04/2020;RSHOP-ARBYS SUPER-26/04;5934;-49,9;49.9;0;01/04/2020;2020-04-01;2020-04-27
padaria;27/04/2020;RSHOP-ARIZONA PAE-27/04;5934;-11,07;11.07;0;01/04/2020;2020-04-01;2020-04-27
gasolina;27/04/2020;RSHOP-AUTO POSTO -26/04;5934;-198,79;198.79;0;01/04/2020;2020-04-01;2020-04-27
farmacia;27/04/2020;RSHOP-DROGARIA PR-27/04;5934;-21,99;21.99;0;01/04/2020;2020-04-01;2020-04-27
compras;27/04/2020;RSHOP-LEROY MERLI-25/04;5934;-75,56;75.56;0;01/04/2020;2020-04-01;2020-04-27
alimentação;27/04/2020;RSHOP-MC DONALDS -25/04;5934;-45,3;45.3;0;01/04/2020;2020-04-01;2020-04-27
compras;27/04/2020;RSHOP-PAG*IgorDeA-25/04;5934;-32,2;32.2;0;01/04/2020;2020-04-01;2020-04-27
farmacia;27/04/2020;RSHOP-RAIA 47    -27/04;5934;-49,35;49.35;0;01/04/2020;2020-04-01;2020-04-27
mercado;27/04/2020;RSHOP-SONDA TREME-25/04;5934;-10,7;10.7;0;01/04/2020;2020-04-01;2020-04-27
mercado;27/04/2020;RSHOP-SONDA TREME-25/04;5934;-145,45;145.45;0;01/04/2020;2020-04-01;2020-04-27
compras;29/04/2020;RSHOP-LEROY MERLI-29/04;5934;-29,88;29.88;0;01/04/2020;2020-04-01;2020-04-29
saque;30/04/2020;CXE     000620 SAQUE;3036;-100;100;0;01/04/2020;2020-04-01;2020-04-30
mercado;30/04/2020;RSHOP-ANDORINHA H-30/04;5934;-352,18;352.18;0;01/04/2020;2020-04-01;2020-04-30
saldo;30/04/2020;SALDO PARCIAL;;-1414,56;0;0;01/04/2020;2020-04-01;2020-04-30
saldo;30/04/2020;SALDO ANTERIOR;;-1414,56;0;0;01/04/2020;2020-04-01;2020-04-30
alimentação;30/04/2020;RSHOP-PASTEIS M M-30/04;5934;-21;21;0;01/04/2020;2020-04-01;2020-04-30
alimentação;30/04/2020;RSHOP-PASTEIS YAS-30/04;5934;-10;10;0;01/04/2020;2020-04-01;2020-04-30
boleto;30/04/2020;INT TED  511000;4175;-1000;1000;0;01/04/2020;2020-04-01;2020-04-30
seminario;30/04/2020;INT TED  513437 SEMI;4175;-283,5;283.5;0;01/04/2020;2020-04-01;2020-04-30
